lineage,taxon,level1,level2,plankton,,,,,
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Hydrozoa/Trachylina/Trachymedusae,Trachymedusae,Trachymedusae,Trachylina,TRUE,,,Trachymedusae,Trachylina,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Ctenophora,Ctenophora,Ctenophora,Ctenophora,TRUE,,,Ctenophora,Ctenophora,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Echinodermata,Echinodermata,Echinodermata,Echinodermata,TRUE,,,Echinodermata,Echinodermata,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Mollusca/Gastropoda/Heterobranchia/Euthyneura/Euopisthobranchia/Thecosomata/Creseidae/Creseis/Creseis,Creseis acicula,Creseis acicula,Mollusca,TRUE,,,Creseis,Mollusca,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Mollusca/Gastropoda/Heterobranchia/Euthyneura/Thecosomata,Thecosomata,Thecosomata,Mollusca,TRUE,,,Thecosomata,Mollusca,TRUE
/living/other,other<living,other<living,other<living,FALSE,,,other<living,other<living,FALSE
/living/other/othertocheck/darksphere,darksphere,darksphere,other<living,FALSE,,,darksphere,other<living,FALSE
/not-living/artefact,artefact,artefact,artefact,FALSE,,,artefact,artefact,FALSE
/not-living/crystal,crystal,crystal,crystal,FALSE,,,crystal,crystal,FALSE
/not-living/detritus/fiber,fiber,fiber,fiber,FALSE,,,fiber,fiber,FALSE
/not-living/detritus/filament,filament,filament,filament,FALSE,,,filament,filament,FALSE
/reflection,reflection,reflection,reflection,FALSE,,,reflection,reflection,FALSE
/temporary/t004,t004,t004,t004,FALSE,,,t004,t004,FALSE
/temporary/t011,t011,t011,t011,FALSE,,,t011,t011,FALSE
