taxon,grouped,plankton,precision-native_rf,recall-native_rf,f1-native_rf,precision-mobilenet_pca50_rf,recall-mobilenet_pca50_rf,f1-mobilenet_pca50_rf,precision-mobilenet600,recall-mobilenet600,f1-mobilenet600,precision-effnetv2s,recall-effnetv2s,f1-effnetv2s
Narcomedusae,Trachylina,True,0.45454545454545453,0.29411764705882354,0.35714285714285715,0.6,0.7058823529411765,0.6486486486486487,0.6,0.7058823529411765,0.6486486486486487,0.6086956521739131,0.8235294117647058,0.7
Trachymedusae,Trachylina,True,0.25,0.07142857142857142,0.1111111111111111,0.5,0.21428571428571427,0.3,0.4444444444444444,0.2857142857142857,0.34782608695652173,0.3,0.6428571428571429,0.4090909090909091
puff,Trichodesmium,True,0.7817679558011049,0.5076233183856502,0.6155519303969549,0.8977973568281938,0.9139013452914798,0.9057777777777778,0.8757497857754927,0.9165919282511211,0.8957055214723927,0.761371588523443,0.9757847533632287,0.8553459119496856
tuff,Trichodesmium,True,0.6826086956521739,0.21506849315068494,0.32708333333333334,0.8543140028288543,0.8273972602739726,0.8406402226861517,0.8081471747700394,0.8424657534246576,0.8249496981891348,0.7572928821470245,0.8890410958904109,0.8178954001260239
artefact,artefact,False,0.922360248447205,0.9197080291970803,0.9210322294827777,0.9558134345012274,0.9473567794735678,0.9515663185958676,0.9505406027145158,0.9139570891395709,0.9318899413622012,0.9375559534467324,0.9265649192656492,0.9320280342641005
crystal,crystal,False,0.8840336134453781,0.9293286219081273,0.9061154177433247,0.8846815834767642,0.9081272084805654,0.8962510897994769,0.8165137614678899,0.9434628975265018,0.8754098360655738,0.7310252996005326,0.9699646643109541,0.8337129840546698
detritus,detritus,False,0.9305340267013351,0.9753154357140049,0.9523986207690683,0.967066877576952,0.977241460634409,0.9721275472632601,0.9842796071950504,0.9442238905703392,0.9638357630065534,0.9848795840175151,0.9430315894291367,0.9635014022476122
fiber,fiber,False,0.767609756097561,0.8046635303743097,0.7857000199720392,0.8220012177795819,0.8283902638576396,0.8251833740831296,0.734219828311732,0.8922069952955615,0.8055401662049861,0.755340154370849,0.8607077111883821,0.8045889101338433
filament,filament,False,0.6222760290556901,0.5181451612903226,0.5654565456545655,0.6831683168316832,0.6955645161290323,0.6893106893106893,0.4880952380952381,0.8266129032258065,0.6137724550898204,0.4549402823018458,0.844758064516129,0.5913902611150318
darksphere,other<living,False,0.75,0.11538461538461539,0.2,0.75,0.5192307692307693,0.6136363636363636,0.2465753424657534,0.6923076923076923,0.36363636363636365,0.47761194029850745,0.6153846153846154,0.5378151260504201
other<living,other<living,False,1.0,0.004201680672268907,0.008368200836820083,0.3448275862068966,0.04201680672268908,0.0749063670411985,0.2159090909090909,0.15966386554621848,0.18357487922705315,0.24761904761904763,0.1092436974789916,0.15160349854227406
reflection,reflection,False,0.8752783964365256,0.5703918722786647,0.6906854130052724,0.8214849921011058,0.7547169811320755,0.7866868381240545,0.6182396606574762,0.8461538461538461,0.7144607843137255,0.7417654808959157,0.8171262699564587,0.7776243093922652
t004,t004,False,0.0,0.0,0.0,0.825,0.868421052631579,0.8461538461538461,0.5522388059701493,0.9736842105263158,0.7047619047619048,0.5737704918032787,0.9210526315789473,0.7070707070707071
t011,t011,False,0.9166666666666666,0.6470588235294118,0.7586206896551724,1.0,0.8823529411764706,0.9375,0.7083333333333334,1.0,0.8292682926829268,0.5862068965517241,1.0,0.7391304347826086
